artifact_id,artifact_type,caption,source_run_ids,source_result_files,source_manifest,generation_script,output_path,generated_on,notes
F1,figure,Graphical abstract summarizing the audited RAISE workflow and external validation chain.,,work/root_cutsel_holdout140_raise_v1_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_rc_stats_paired_stats.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_stats_paired_stats.csv;work/external_unseen_holdout120_v2_ud_confirmatory_v1_raise_cut_stats_paired_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_test140_resource_matched_valid_manifest.csv;work/manifests/external_unseen_dev120_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/graphical_abstract.pdf,2026-03-11T13:04:30,Also exported to PNG for journal submission.
F2,figure,"Overall framework linking audited data construction, regime diagnosis, expert choice, and evaluation.",,work/root_cutsel_holdout140_raise_v1_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_rc_stats_paired_stats.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_stats_paired_stats.csv;work/external_unseen_holdout120_v2_full_baselines_v1_raise_cut_stats_paired_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_test140_resource_matched_valid_manifest.csv;work/manifests/external_unseen_dev120_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/framework_overview.pdf,2026-03-11T13:04:30,High-level logic figure for the audited method and evaluation chain.
F3,figure,Method overview for RAISE-Cut and the optional RAISE-Portfolio-UD delegation layer.,,work/root_cutsel_holdout140_raise_v1_stats_paired_stats.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_route_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_dev120_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/method_overview.pdf,2026-03-11T13:04:30,Schematic reflects the deployed route rule and regime switch.
F4,figure,"Overview of benchmark confirmation, external routing transfer, and fresh strong baselines.",,work/root_cutsel_holdout140_raise_v1_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_rc_stats_paired_stats.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_stats_paired_stats.csv;work/external_unseen_holdout120_v2_full_baselines_v1_raise_cut_stats_paired_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_test140_resource_matched_valid_manifest.csv;work/manifests/external_unseen_dev120_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/results_overview.pdf,2026-03-11T13:04:30,Negative deltas favor the left-named method in each panel.
F5,figure,Regime-wise heatmap of mean log-gap delta for RAISE-Cut.,,work/root_cutsel_holdout140_raise_v1_stats_family_stats.csv;work/external_unseen_holdout120_v2_full_baselines_v1_raise_cut_stats_family_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/regime_heatmap.pdf,2026-03-11T13:04:30,Cell annotations show mean delta and win-loss counts.
F6,figure,Routed-case scatter and outcome audit for the uncertainty-driven dynamic delegation rule.,,work/external_unseen_dev120_raise_portfolio_ud_v1_routed_cases.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_route_stats.csv;work/external_unseen_holdout120_v2_ud_confirmatory_v1_routed_cases.csv;work/external_unseen_holdout120_v2_ud_confirmatory_v1_route_stats.csv,work/manifests/external_unseen_dev120_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/route_scatter.pdf,2026-03-11T13:04:30,Scatter uses the deployed candidate-count and dominance-share thresholds.
F7,figure,Development-set coverage-regret view of the uncertainty-driven route search.,,work/external_unseen_dev120_raise_portfolio_ud_rule_search.csv,work/manifests/external_unseen_dev120_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/figures/ud_tradeoff.pdf,2026-03-11T13:04:30,Deployed rule highlighted against looser top-performing alternatives.
T2,table,Main paired results for the benchmark hold-out and the external portfolio transfer chain.,,work/root_cutsel_holdout140_raise_v1_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_stats_paired_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_rc_stats_paired_stats.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_stats_paired_stats.csv;work/external_unseen_holdout120_v2_ud_confirmatory_v1_raise_cut_stats_paired_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_test140_resource_matched_valid_manifest.csv;work/manifests/external_unseen_dev120_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/tables/generated/main_results.tex,2026-03-11T13:04:30,Comparison table used in the main manuscript.
T3,table,Fresh external strong-baseline comparisons on the external hold-out.,,work/external_unseen_holdout120_v2_full_baselines_v1_raise_cut_stats_paired_stats.csv,work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/tables/generated/pilot_baselines.tex,2026-03-11T13:04:30,Strong-baseline table used in the main manuscript.
T4,table,Route audit across portfolio policies and splits.,,work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_route_stats.csv;work/external_unseen_confirmatory140_resource_matched_v1_raise_portfolio_rc_route_stats.csv;work/external_unseen_dev120_raise_portfolio_ud_v1_route_stats.csv;work/external_unseen_holdout120_v2_ud_confirmatory_v1_route_stats.csv,work/manifests/external_unseen_test140_resource_matched_valid_manifest.csv;work/manifests/external_unseen_dev120_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/tables/generated/route_audit.tex,2026-03-11T13:04:30,Counts and outcomes by routed expert.
T5,table,Development-stage weight sweep used to freeze the deployed linear-plus-pairwise coefficients.,,work/plan5_weight_tuning_summary.csv,work/manifests/dev_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/tables/generated/weight_tuning.tex,2026-03-11T13:04:30,Appendix calibration table for frozen coefficients.
T6,table,Descriptive regime-wise support for the benchmark adaptive comparison and the external SCIP dynamic comparison.,,work/root_cutsel_holdout140_raise_v1_stats_family_stats.csv;work/external_unseen_holdout120_v2_full_baselines_v1_raise_cut_stats_family_stats.csv,work/manifests/test_manifest.csv;work/manifests/external_unseen_holdout120_v2_manifest.csv,paper/submission/eswa_manuscript/scripts/generate_manuscript_assets.py,paper/submission/eswa_manuscript/tables/generated/regime_support.tex,2026-03-11T13:04:30,Appendix regime table supporting the gating interpretation.
